scenario_id,scenario,architecture,racks_as_found,racks_after_ladder,binds_first_id,binds_first,gpus,weeks_to_full,sets_the_date,it_load_kW.value,it_load_kW.low,it_load_kW.high,it_load_kW.unit,it_load_kW.evidence,it_load_kW.label,it_load_kW.provenance,capex_eur.value,capex_eur.low,capex_eur.high,capex_eur.unit,capex_eur.evidence,capex_eur.label,capex_eur.provenance,accuracy_class
retained_air,"Retained air, grid only",retained_air,0,0,rack_feed_tapoff,Rack feed / tap-off rating,0,,Rack feed / tap-off rating,0.0,0.0,0.0,kW,E0_ASSUMPTION,deployable IT load,a4e3fd845acb,6000.0,3000.0,12000.0,EUR,E0_ASSUMPTION,total capex,698a41adaa1e,Class 5 (order of magnitude): -50% / +100%
rdhx,"Rear-door heat exchangers, grid only",rdhx,0,0,rack_feed_tapoff,Rack feed / tap-off rating,0,,Rack feed / tap-off rating,0.0,0.0,0.0,kW,E0_ASSUMPTION,deployable IT load,a4e3fd845acb,6000.0,3000.0,12000.0,EUR,E0_ASSUMPTION,total capex,698a41adaa1e,Class 5 (order of magnitude): -50% / +100%
hybrid_dlc,"Hybrid DLC on retained plant, grid only",hybrid_dlc,0,26,rack_feed_tapoff,Rack feed / tap-off rating,1872,160.0,Transformer capacity,3510.0,3432.0,3692.0,kW,E0_ASSUMPTION,deployable IT load,a4e3fd845acb,5960000.0,2978500.0,11914000.0,EUR,E0_ASSUMPTION,total capex,698a41adaa1e,Class 5 (order of magnitude): -50% / +100%
full_dlc,"Full DLC, grid only",full_dlc,0,28,rack_feed_tapoff,Rack feed / tap-off rating,2016,160.0,Transformer capacity,3780.0,3696.0,3976.0,kW,E0_ASSUMPTION,deployable IT load,a4e3fd845acb,5460000.0,2731500.0,10926000.0,EUR,E0_ASSUMPTION,total capex,698a41adaa1e,Class 5 (order of magnitude): -50% / +100%
full_dlc_btm,Full DLC plus behind-the-meter supply,full_dlc,0,62,rack_feed_tapoff,Rack feed / tap-off rating,4464,160.0,Transformer capacity,8370.0,8184.0,8804.0,kW,E0_ASSUMPTION,deployable IT load,a4e3fd845acb,18400000.0,9200500.0,36802000.0,EUR,E0_ASSUMPTION,total capex,698a41adaa1e,Class 5 (order of magnitude): -50% / +100%
